"Step","Group: text10-vision10 - evaluation/blimp/determiner_noun_agreement","Group: text10-vision10 - evaluation/blimp/determiner_noun_agreement__MIN","Group: text10-vision10 - evaluation/blimp/determiner_noun_agreement__MAX","Group: text10-vision100 - evaluation/blimp/determiner_noun_agreement","Group: text10-vision100 - evaluation/blimp/determiner_noun_agreement__MIN","Group: text10-vision100 - evaluation/blimp/determiner_noun_agreement__MAX","Group: text1-vision10 - evaluation/blimp/determiner_noun_agreement","Group: text1-vision10 - evaluation/blimp/determiner_noun_agreement__MIN","Group: text1-vision10 - evaluation/blimp/determiner_noun_agreement__MAX","Group: text1-vision100 - evaluation/blimp/determiner_noun_agreement","Group: text1-vision100 - evaluation/blimp/determiner_noun_agreement__MIN","Group: text1-vision100 - evaluation/blimp/determiner_noun_agreement__MAX","Group: text1-vision1 - evaluation/blimp/determiner_noun_agreement","Group: text1-vision1 - evaluation/blimp/determiner_noun_agreement__MIN","Group: text1-vision1 - evaluation/blimp/determiner_noun_agreement__MAX","Group: text10-vision1 - evaluation/blimp/determiner_noun_agreement","Group: text10-vision1 - evaluation/blimp/determiner_noun_agreement__MIN","Group: text10-vision1 - evaluation/blimp/determiner_noun_agreement__MAX","Group: text10-vision0 - evaluation/blimp/determiner_noun_agreement","Group: text10-vision0 - evaluation/blimp/determiner_noun_agreement__MIN","Group: text10-vision0 - evaluation/blimp/determiner_noun_agreement__MAX","Group: text1-vision0 - evaluation/blimp/determiner_noun_agreement","Group: text1-vision0 - evaluation/blimp/determiner_noun_agreement__MIN","Group: text1-vision0 - evaluation/blimp/determiner_noun_agreement__MAX"
"87","","","","","","","","","","","","","","","","49.869998931884766","49.869998931884766","49.869998931884766","50.15999984741211","50.15999984741211","50.15999984741211","","",""
"130","","","","","","","","","","","","","","","","","","","","","","50.400001525878906","50.400001525878906","50.400001525878906"
"131","","","","","","","","","","","","","49.93000030517578","49.93000030517578","49.93000030517578","","","","","","","","",""
"145","","","","","","","50.16999816894531","50.16999816894531","50.16999816894531","50.2400016784668","50.2400016784668","50.2400016784668","","","","","","","","","","","",""
"166","50.209999084472656","50.209999084472656","50.209999084472656","50.369998931884766","50.369998931884766","50.369998931884766","","","","","","","","","","","","","","","","","",""
"261","","","","","","","","","","","","","","","","","","","50.41999816894531","50.41999816894531","50.41999816894531","","",""
"266","","","","","","","","","","","","","","","","49.88999938964844","49.88999938964844","49.88999938964844","","","","","",""
"304","","","","","","","","","","","","","","","","","","","","","","50.130001068115234","50.130001068115234","50.130001068115234"
"332","","","","","","","49.849998474121094","49.849998474121094","49.849998474121094","49.869998931884766","49.869998931884766","49.869998931884766","","","","","","","","","","","",""
"333","","","","","","","","","","","","","50.08000183105469","50.08000183105469","50.08000183105469","","","","","","","","",""
"338","49.95000076293945","49.95000076293945","49.95000076293945","49.79999923706055","49.79999923706055","49.79999923706055","","","","","","","","","","","","","","","","","",""
"435","","","","","","","","","","","","","","","","","","","50.08000183105469","50.08000183105469","50.08000183105469","","",""
"445","","","","","","","","","","","","","","","","50.29999923706055","50.29999923706055","50.29999923706055","","","","","",""
"470","","","","","","","","","","","","","50.0099983215332","50.0099983215332","50.0099983215332","","","","","","","","",""
"478","","","","","","","","","","","","","","","","","","","","","","49.880001068115234","49.880001068115234","49.880001068115234"
"483","","","","","","","49.59000015258789","49.59000015258789","49.59000015258789","49.9900016784668","49.9900016784668","49.9900016784668","","","","","","","","","","","",""
"510","49.349998474121094","49.349998474121094","49.349998474121094","49.279998779296875","49.279998779296875","49.279998779296875","","","","","","","","","","","","","","","","","",""
"609","","","","","","","","","","","","","","","","","","","50.130001068115234","50.130001068115234","50.130001068115234","","",""
"624","","","","","","","","","","","","","","","","49.959999084472656","49.959999084472656","49.959999084472656","","","","","",""
"652","","","","","","","","","","","","","","","","","","","","","","50.290000915527344","50.290000915527344","50.290000915527344"
"670","","","","","","","49.59000015258789","49.59000015258789","49.59000015258789","49.619998931884766","49.619998931884766","49.619998931884766","","","","","","","","","","","",""
"672","","","","","","","","","","","","","50.08000183105469","50.08000183105469","50.08000183105469","","","","","","","","",""
"682","51.04999923706055","51.04999923706055","51.04999923706055","51.060001373291016","51.060001373291016","51.060001373291016","","","","","","","","","","","","","","","","","",""
"783","","","","","","","","","","","","","","","","","","","50.09000015258789","50.09000015258789","50.09000015258789","","",""
"803","","","","","","","","","","","","","","","","50","50","50","","","","","",""
"809","","","","","","","","","","","","","49.84000015258789","49.84000015258789","49.84000015258789","","","","","","","","",""
"821","","","","","","","50.560001373291016","50.560001373291016","50.560001373291016","50.439998626708984","50.439998626708984","50.439998626708984","","","","","","","","","","","",""
"826","","","","","","","","","","","","","","","","","","","","","","52.15999984741211","52.15999984741211","52.15999984741211"
"854","55.790000915527344","55.790000915527344","55.790000915527344","54.83000183105469","54.83000183105469","54.83000183105469","","","","","","","","","","","","","","","","","",""
"957","","","","","","","","","","","","","","","","","","","49.810001373291016","49.810001373291016","49.810001373291016","53.77000045776367","53.77000045776367","53.77000045776367"
"982","","","","","","","","","","","","","","","","49.95000076293945","49.95000076293945","49.95000076293945","","","","","",""
"1008","","","","","","","54.220001220703125","54.220001220703125","54.220001220703125","53.650001525878906","53.650001525878906","53.650001525878906","","","","","","","","","","","",""
"1011","","","","","","","","","","","","","49.720001220703125","49.720001220703125","49.720001220703125","","","","","","","","",""
"1026","55.130001068115234","55.130001068115234","55.130001068115234","53.650001525878906","53.650001525878906","53.650001525878906","","","","","","","","","","","","","","","","","",""
"1078","","","","","","","","","","","","","49.7599983215332","49.7599983215332","49.7599983215332","","","","","","","","",""
"1131","","","","","","","","","","","","","","","","","","","49.70000076293945","49.70000076293945","49.70000076293945","54.02000045776367","54.02000045776367","54.02000045776367"
"1161","","","","","","","","","","","","","","","","51.06999969482422","51.06999969482422","51.06999969482422","","","","","",""
"1195","","","","","","","54.54999923706055","54.54999923706055","54.54999923706055","56.400001525878906","56.400001525878906","56.400001525878906","","","","","","","","","","","",""
"1197","","","","","","","","","","","","","49.790000915527344","49.790000915527344","49.790000915527344","","","","","","","","",""
"1198","58.310001373291016","58.310001373291016","58.310001373291016","58.34000015258789","58.34000015258789","58.34000015258789","","","","","","","","","","","","","","","","","",""
"1305","","","","","","","","","","","","","","","","","","","50.36000061035156","50.36000061035156","50.36000061035156","56.79999923706055","56.79999923706055","56.79999923706055"
"1340","","","","","","","","","","","","","","","","52.08000183105469","52.08000183105469","52.08000183105469","","","","","",""
"1346","","","","","","","59.25","59.25","59.25","60.59000015258789","60.59000015258789","60.59000015258789","","","","","","","","","","","",""
"1370","61.349998474121094","61.349998474121094","61.349998474121094","61.689998626708984","61.689998626708984","61.689998626708984","","","","","","","","","","","","","","","","","",""
"1376","","","","","","","","","","","","","50.09000015258789","50.09000015258789","50.09000015258789","","","","","","","","",""
"1393","","","","","","","","","","","","","","","","","","","51.369998931884766","51.369998931884766","51.369998931884766","","",""
"1433","","","","","","","","","","","","","","","","53.540000915527344","53.540000915527344","53.540000915527344","","","","","",""
"1479","","","","","","","","","","","","","","","","","","","","","","60.33000183105469","60.33000183105469","60.33000183105469"
"1533","","","","","","","64.20999908447266","64.20999908447266","64.20999908447266","65.45999908447266","65.45999908447266","65.45999908447266","","","","","","","","","","","",""
"1542","63.75","63.75","63.75","65.04000091552734","65.04000091552734","65.04000091552734","","","","","","","","","","","","","","","","","",""
"1555","","","","","","","","","","","","","50.93000030517578","50.93000030517578","50.93000030517578","","","","","","","","",""
"1567","","","","","","","","","","","","","","","","","","","52.189998626708984","52.189998626708984","52.189998626708984","","",""
"1612","","","","","","","","","","","","","","","","54.02000045776367","54.02000045776367","54.02000045776367","","","","","",""
"1653","","","","","","","","","","","","","","","","","","","","","","64.44999694824219","64.44999694824219","64.44999694824219"
"1684","","","","","","","68.06999969482422","68.06999969482422","68.06999969482422","67.94000244140625","67.94000244140625","67.94000244140625","","","","","","","","","","","",""
"1714","65.45999908447266","65.45999908447266","65.45999908447266","67.61000061035156","67.61000061035156","67.61000061035156","","","","","","","","","","","","","","","","","",""
"1734","","","","","","","","","","","","","52.470001220703125","52.470001220703125","52.470001220703125","","","","","","","","",""
